id;first_name;last_name;address;phone_number;email
1;Cécile;Barre;Auvergne heuristic program;"+42     7326801499";Aleaume_Barre54@gmail.com
2;Ophélie;Adam;Rubber Tchad;" 6791917492";Urbain23@hotmail.fr
3;Cyrille;Le roux;intelligence;"+0   6928323858";Anstrudie.Berger45@yahoo.fr
4;Éloïse;Michel;Small Renminbi plum;"+267   9173686901";Odilon_Dufour@yahoo.fr
5;Antide;Arnaud;Boétie Loan Rustic;"    1545151827";Georges.Marchand@gmail.com
6;Oury;Blanc;transmitting Koweït;"+941  8201449302";Scholastique45@yahoo.fr
7;Roland;Marchand;overriding Jordan multi-tasking;"   4282963101";Hdelin69@gmail.com
8;Hubert;Clement;Account silver wireless;"+6     4664998661";Isabeau_Schmitt@hotmail.fr
9;Clarence;Marchand;c system-worthy;"+514    7031993578";Gaston_Legall78@yahoo.fr
10;Chloé;Arnaud;Executif deliverables SAS;" 7757544671";Marcel36@gmail.com
