id;first_name;last_name;phone_number;email
1;Chloé;Vincent;"+039  7238614828";Rodolphe_Roux@yahoo.fr
2;Lazare;Perrot;"+8027798181155";Charlotte_Garnier@gmail.com
3;Tim;Nguyen;"+26 2900279709";Laurence.Dumont74@yahoo.fr
4;Olivier;Baron;"+03     6373348301";Justine7@gmail.com
5;Réjeanne;Rolland;"  7575263122";Rjean64@yahoo.fr
6;Xavier;Meunier;"     5162725959";Amandin34@hotmail.fr
7;Débora;Vidal;"+02297489650";Tancrde28@hotmail.fr
8;Rose;Dupont;"+267     0758007397";Stphanie_Benoit53@gmail.com
9;Fabien;Blanc;"    7923568494";Georgette_Fabre@gmail.com
10;Florent,;Chevalier;"  7778339633";Coralie3@hotmail.fr
